,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Nikita Kucherov,TB,RW,28,19,28,47,-1,8,137,4,7,15,0,0,15,11
Auston Matthews,TOR,C,25,19,9,28,0,0,108,0,7,3,0,0,33,33
Brock Boeser,VAN,RW,28,18,14,32,9,2,73,2,8,3,0,0,15,9
Kyle Connor,WPG,LW,26,17,11,28,-4,2,102,5,3,7,0,0,3,9
Sam Reinhart,FLA,RW,27,17,20,37,18,13,66,4,7,3,1,0,13,29
David Pastrnak,BOS,RW,26,16,23,39,8,12,129,2,4,12,0,0,24,5
Travis Konecny,PHI,C,27,16,7,23,12,36,83,1,2,1,3,0,12,10
Artemi Panarin,NYR,LW,26,16,22,38,-1,10,103,1,4,12,0,0,1,3
Zach Hyman,EDM,RW,24,15,12,27,8,22,86,3,4,2,0,0,21,16
J.T. Miller,VAN,C,28,15,25,40,11,20,67,2,7,10,1,0,59,26
Sidney Crosby,PIT,C,26,15,12,27,11,14,99,1,2,1,0,0,22,11
Chris Kreider,NYR,LW,26,14,8,22,4,6,67,3,7,2,2,0,22,8
Filip Forsberg,NSH,RW,28,14,17,31,-1,22,107,2,2,10,0,0,44,11
Jonathan Marchessault,VGK,LW,29,14,6,20,2,18,94,1,5,2,0,0,25,9
Frank Vatrano,ANH,LW,27,14,9,23,-5,33,99,3,5,3,1,0,47,30
Joel Eriksson Ek,MIN,C,26,14,7,21,6,28,94,2,6,1,0,0,46,23
Michael Carcone,ARI,C,26,14,3,17,4,10,39,1,1,0,1,0,18,9
Trevor Moore,LA,LW,25,13,9,22,9,12,72,2,2,3,1,0,15,9
Brady Tkachuk,OTT,LW,22,13,6,19,1,52,99,0,4,3,0,0,56,7
Mikko Rantanen,COL,RW,28,13,21,34,1,16,91,4,3,10,0,0,12,15
Alex DeBrincat,DET,RW,27,13,13,26,2,8,87,1,4,5,0,0,14,8
Jared McCann,SEA,LW,29,13,5,18,-12,15,81,2,5,1,0,0,13,11
William Nylander,TOR,C,25,13,21,34,2,4,108,2,5,8,1,0,15,8
Carter Verhaeghe,FLA,C,27,13,10,23,6,12,95,2,4,2,0,0,17,10
Boone Jenner,CLS,LW,29,13,5,18,-5,8,81,0,3,1,0,0,44,39
Tyler Toffoli,NJ,RW,26,12,9,21,-10,4,86,0,4,4,0,0,15,6
Ryan O'Reilly,NSH,C,28,12,10,22,-3,6,69,1,7,4,0,0,12,18
Jeff Skinner,BUF,LW,29,12,10,22,-5,6,106,0,5,0,0,0,8,6
Brock Nelson,NYI,C,27,12,10,22,-2,10,89,1,3,4,0,0,13,16
Evander Kane,EDM,LW,25,12,10,22,-5,46,80,2,2,2,1,0,94,12
Brad Marchand,BOS,LW,26,12,13,25,0,31,91,4,4,8,0,0,25,16
Joe Pavelski,DAL,RW,27,12,14,26,-3,4,65,2,6,2,0,0,24,22
Brayden Point,TB,C,29,12,19,31,-9,4,80,4,6,7,0,0,6,15
Nathan MacKinnon,COL,C,28,12,27,39,6,22,127,2,1,11,0,0,18,28
William Karlsson,VGK,C,29,12,14,26,11,8,67,0,3,4,1,0,8,18
Lawson Crouse,ARI,LW,26,12,5,17,3,10,63,1,2,1,0,0,49,17
Jack Eichel,VGK,C,29,12,20,32,3,6,122,4,5,5,0,1,9,29
Jesper Bratt,NJ,LW,26,12,20,32,-2,4,67,4,4,12,0,0,20,9
John-Jason Peterka,BUF,RW,29,12,9,21,4,10,81,2,1,2,0,0,7,8
Connor Bedard,CHI,C,27,11,12,23,-14,8,84,1,1,4,0,0,14,6
Elias Pettersson,VAN,C,28,11,26,37,9,0,66,4,4,10,0,1,37,24
Dylan Strome,WAS,C,25,11,3,14,2,4,54,2,3,0,0,0,4,12
Teuvo Teravainen,CAR,C,27,11,7,18,0,2,59,3,4,2,1,1,5,10
Leon Draisaitl,EDM,C,25,11,21,32,-4,24,73,1,8,8,0,1,12,7
Dylan Larkin,DET,C,24,11,14,25,5,31,83,2,4,9,1,0,13,8
Jake Guentzel,PIT,LW,26,10,19,29,9,8,88,2,0,3,0,0,17,11
Valeri Nichushkin,COL,LW,26,10,13,23,5,14,72,0,5,1,0,2,33,12
Aleksander Barkov,FLA,C,24,10,18,28,21,6,71,2,1,6,0,0,22,17
Bo Horvat,NYI,C,26,10,15,25,5,6,77,1,3,3,0,1,20,14
Evgeni Malkin,PIT,C,26,10,12,22,-1,20,66,2,2,4,0,0,7,15
Anze Kopitar,LA,C,25,10,15,25,12,6,52,3,3,4,0,1,8,21
Steven Stamkos,TB,C,26,10,16,26,-15,14,78,0,4,11,0,0,20,9
Charlie Coyle,BOS,C,26,10,11,21,4,12,49,0,2,0,0,0,32,23
Connor McDavid,EDM,C,23,10,26,36,2,14,65,0,2,13,0,0,36,15
Bryan Rust,PIT,RW,22,10,10,20,13,4,71,1,0,0,0,0,15,17
Roope Hintz,DAL,LW,25,10,14,24,2,8,60,1,4,4,1,1,7,11
Robert Thomas,STL,C,27,10,17,27,7,10,60,1,0,4,0,1,5,15
Joel Farabee,PHI,LW,27,10,7,17,4,6,60,1,0,1,0,0,11,20
Jake Neighbours,STL,LW,27,10,1,11,-4,0,48,0,1,0,0,0,39,19
Mason McTavish,ANH,C,24,10,11,21,-9,30,63,3,2,4,1,0,7,14
Brandon Hagel,TB,LW,29,10,16,26,1,24,68,1,0,4,0,0,14,17
Jack Hughes,NJ,C,21,10,23,33,-1,6,103,1,3,12,0,0,4,9
Nils Hoglander,VAN,LW,26,9,4,13,12,25,34,2,0,0,0,0,18,6
Ilya Mikheyev,VAN,RW,24,9,7,16,6,2,49,0,0,0,0,0,13,3
Wyatt Johnston,DAL,C,27,9,9,18,-2,14,63,1,1,3,2,0,14,16
Seth Jarvis,CAR,RW,27,9,10,19,-2,4,58,3,5,1,0,1,38,13
Marco Rossi,MIN,C,26,9,7,16,5,12,51,1,1,0,0,0,3,12
Lucas Raymond,DET,RW,27,9,13,22,0,6,60,2,1,4,0,0,19,7
Cole Perfetti,WPG,LW,26,9,10,19,6,6,53,1,4,2,0,0,4,6
Quinn Hughes,VAN,D,28,9,27,36,20,14,78,2,1,14,0,0,11,21
Mason Marchment,DAL,LW,27,9,9,18,5,30,56,1,2,1,0,0,22,8
Kirill Marchenko,CLS,LW,28,9,8,17,5,10,70,0,3,0,0,0,12,19
Jason Robertson,DAL,LW,27,9,17,26,-5,8,67,1,3,7,0,0,14,8
Owen Tippett,PHI,RW,27,9,8,17,0,2,91,0,1,1,0,0,37,16
Mitchell Marner,TOR,RW,25,9,17,26,0,10,54,1,2,7,0,0,19,22
Mathew Barzal,NYI,C,26,9,20,29,2,18,84,2,2,8,0,0,12,13
Nick Paul,TB,LW,29,9,3,12,-16,15,57,1,5,1,0,0,21,19
Clayton Keller,ARI,C,27,9,16,25,-12,20,77,2,4,10,0,0,6,15
Mark Scheifele,WPG,C,26,9,19,28,3,20,65,1,4,5,0,0,15,15
Ryan Johansen,COL,C,28,9,2,11,-4,8,46,3,4,1,0,0,14,4
Tyler Seguin,DAL,C,27,9,10,19,3,6,52,1,0,1,0,1,20,10
Claude Giroux,OTT,C,22,9,13,22,6,10,61,0,2,4,0,0,10,8
Tomas Hertl,SJ,C,27,9,15,24,-14,10,68,0,2,4,1,0,24,25
Tom Wilson,WAS,RW,25,9,6,15,-4,63,73,2,2,1,1,0,72,18
Colton Sissons,NSH,RW,28,9,6,15,2,18,49,2,1,1,3,0,40,12
Pavel Buchnevich,STL,LW,25,9,11,20,4,14,62,3,4,0,2,1,9,7
Jason Dickinson,CHI,C,27,9,5,14,5,27,37,1,0,0,0,0,37,29
Adrian Kempe,LA,C,25,9,17,26,13,24,84,1,1,6,1,0,28,10
Nick Schmaltz,ARI,RW,27,9,11,20,-9,4,58,2,5,5,0,0,1,17
Alex Tuch,BUF,RW,22,8,9,17,-4,26,59,3,1,2,0,0,12,25
Robby Fabbri,DET,LW,15,8,6,14,0,6,20,2,2,2,0,0,6,7
Oliver Bjorkstrand,SEA,RW,29,8,13,21,-3,2,81,2,2,6,0,0,20,4
Stefan Noesen,CAR,C,27,8,8,16,8,10,38,0,1,2,0,0,30,3
Blake Coleman,CGY,C,28,8,10,18,7,28,73,2,0,0,1,1,28,21
Sean Monahan,MON,C,28,8,8,16,-7,10,56,2,4,4,2,0,7,13
John Tavares,TOR,C,25,8,17,25,4,4,88,3,1,6,0,0,30,12
Brayden Schenn,STL,C,27,8,8,16,-10,20,55,1,2,2,0,0,56,13
Kyle Palmieri,NYI,RW,27,8,9,17,-3,10,60,2,4,5,0,0,18,12
Jaden Schwartz,SEA,LW,23,8,7,15,-9,8,52,0,5,3,0,0,17,11
Mark Stone,VGK,RW,29,8,17,25,-3,16,56,3,2,7,2,0,9,20
Mike Hoffman,SJ,LW,27,8,3,11,-8,12,32,1,2,1,0,0,10,15
Cam Atkinson,PHI,RW,27,8,7,15,-9,4,82,2,0,3,0,0,4,18
Sebastian Aho,CAR,LW,24,8,14,22,1,14,74,2,1,5,1,1,6,5
Pavel Zacha,BOS,C,26,8,11,19,2,10,47,3,2,4,0,0,29,11
