,,,Goalies,,,,,,,,,
Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
Alexandar Georgiev,COL,23,14,7,1,3.0,67,643,576,.896,1,"1,339"
Sergei Bobrovsky,FLA,20,13,6,1,2.4,48,550,502,.913,2,"1,191"
Connor Hellebuyck,WPG,20,13,6,1,2.5,49,574,525,.915,1,"1,202"
Thatcher Demko,VAN,20,13,7,0,2.5,49,582,533,.916,2,"1,182"
Juuse Saros,NSH,22,12,10,0,2.9,58,629,571,.908,1,"1,229"
Cam Talbot,LA,18,12,4,2,1.9,34,494,460,.931,2,"1,070"
Connor Ingram,ARI,17,11,5,0,2.5,40,497,457,.920,2,951
Jake Oettinger,DAL,20,11,7,2,2.9,57,596,539,.904,1,"1,199"
Igor Shesterkin,NYR,16,10,6,0,2.9,44,479,435,.908,0,933
Adin Hill,VGK,14,10,2,2,1.9,26,403,377,.935,2,835
Stuart Skinner,EDM,19,10,7,1,3.1,54,479,425,.887,1,"1,069"
Vitek Vanecek,NJ,18,10,5,1,3.5,53,439,386,.879,0,911
Linus Ullmark,BOS,14,9,4,1,2.7,37,447,410,.917,0,818
Jeremy Swayman,BOS,13,9,1,2,2.1,26,382,356,.932,2,750
Carter Hart,PHI,17,9,6,1,2.4,39,480,441,.919,1,967
Ilya Sorokin,NYI,18,8,4,6,3.1,57,660,603,.914,2,"1,098"
Ville Husso,DET,14,8,4,2,3.7,51,447,396,.886,0,838
Joseph Woll,TOR,15,8,5,1,2.8,41,490,449,.916,0,880
Logan Thompson,VGK,15,8,3,3,2.3,33,406,373,.919,0,866
Tristan Jarry,PIT,20,8,10,2,2.5,47,571,524,.918,3,"1,137"
Jonas Johansson,TB,20,8,6,5,3.5,67,613,546,.891,2,"1,157"
Jordan Binnington,STL,20,8,8,1,3.0,56,628,572,.911,1,"1,120"
Jonathan Quick,NYR,10,8,0,1,2.2,21,269,248,.922,2,573
Petr Mrazek,CHI,16,7,8,0,3.1,45,510,465,.912,1,892
Darcy Kuemper,WAS,14,6,6,2,3.2,42,388,346,.892,0,804
Jacob Markstrom,CGY,16,6,8,2,3.0,47,450,403,.896,0,958
Elvis Merzlikins,CLS,19,6,8,4,3.1,55,609,554,.910,0,"1,066"
Antti Raanta,CAR,13,6,5,0,3.4,39,279,240,.860,1,688
Joonas Korpisalo,OTT,14,6,6,0,3.2,41,421,380,.903,0,764
Sam Montembeault,MON,12,6,4,1,2.8,33,376,343,.912,0,713
Filip Gustavsson,MIN,16,6,7,2,3.1,46,458,412,.900,2,906
Ukko-Pekka Luukkonen,BUF,13,6,5,1,2.8,33,355,322,.907,1,704
Charlie Lindgren,WAS,10,6,2,1,2.4,23,332,309,.931,2,589
Casey DeSmith,VAN,9,5,2,1,2.7,22,253,231,.913,1,490
Kaapo Kahkonen,SJ,13,5,6,1,3.9,42,395,353,.894,0,649
Ilya Samsonov,TOR,12,5,1,4,3.3,35,302,267,.884,1,639
Samuel Ersson,PHI,9,5,3,1,2.8,25,217,192,.885,1,539
Devon Levi,BUF,12,5,4,2,3.2,36,337,301,.893,0,684
Lukas Dostal,ANH,10,5,5,0,4.0,36,313,277,.885,0,546
Joel Hofer,STL,10,5,5,0,3.2,26,243,217,.893,1,489
John Gibson,ANH,19,5,12,0,2.9,50,531,481,.906,0,"1,061"
Anton Forsberg,OTT,10,5,5,0,3.0,28,243,215,.885,1,554
Semyon Varlamov,NYI,9,5,3,1,2.6,23,307,284,.925,2,540
Scott Wedgewood,DAL,7,5,1,1,3.3,23,241,218,.905,0,424
Philipp Grubauer,SEA,17,5,9,1,3.3,50,432,382,.884,0,922
Frederik Andersen,CAR,6,4,1,0,2.9,15,142,127,.894,0,314
Marc-Andre Fleury,MIN,11,4,5,2,3.3,36,317,281,.886,0,656
Andrei Vasilevskiy,TB,7,4,3,0,2.7,18,178,160,.899,1,401
Anthony Stolarz,FLA,7,4,2,1,2.3,16,187,171,.914,0,419
Pyotr Kochetkov,CAR,12,4,6,1,3.1,32,251,219,.873,1,615
Pheonix Copley,LA,8,4,1,2,3.2,23,177,154,.870,1,436
Dan Vladar,CGY,9,4,4,1,3.8,32,249,217,.871,0,511
Alex Lyon,DET,6,4,2,0,2.1,12,175,163,.931,1,338
Akira Schmid,NJ,12,4,6,1,3.1,32,324,292,.901,0,633
Joey Daccord,SEA,15,3,5,6,2.9,41,393,352,.896,0,841
Mackenzie Blackwood,SJ,19,3,11,2,3.9,64,612,548,.895,0,"1,002"
Ivan Prosvetov,COL,8,3,2,1,2.8,16,181,165,.912,0,349
Kevin Lankinen,NSH,8,3,3,0,3.1,22,227,205,.903,0,434
Cayden Primeau,MON,6,3,3,0,3.4,21,214,193,.902,0,371
Laurent Brossoit,WPG,6,3,2,1,2.7,16,165,149,.903,0,363
Jake Allen,MON,11,3,6,2,3.6,37,375,338,.901,0,621
James Reimer,DET,8,2,3,2,2.6,19,214,195,.911,1,443
Spencer Martin,CLS,11,2,7,1,3.6,36,333,297,.892,0,604
Alex Nedeljkovic,PIT,5,2,2,1,2.2,11,175,164,.937,1,302
Arvid Soderblom,CHI,13,2,9,1,3.7,44,373,329,.882,0,722
Hunter Shepard,WAS,2,2,0,0,2.5,5,59,54,.915,0,120
Karel Vejmelka,ARI,12,2,7,2,3.5,39,360,321,.892,0,669
Jet Greaves,CLS,2,1,1,0,2.5,5,76,71,.934,0,119
Dustin Wolf,CGY,4,1,2,0,3.1,11,110,99,.900,0,217
Jiri Patera,VGK,1,1,0,0,3.7,4,38,34,.895,0,65
Cal Petersen,PHI,2,1,1,0,3.5,7,67,60,.896,0,120
Eric Comrie,BUF,7,1,5,0,4.0,23,168,145,.863,0,344
Matt Tomkins,TB,3,1,2,0,3.4,10,90,80,.889,0,176
Martin Jones,TOR,1,1,0,0,6.7,1,10,9,.900,0,10
Jack Campbell,EDM,5,1,4,0,4.5,20,157,137,.873,0,267
Calvin Pickard,EDM,3,1,1,0,2.3,6,72,66,.917,0,161
Louis Domingue,NYR,1,1,0,0,1.0,1,26,25,.962,0,60
Magnus Hellberg,PIT,3,1,0,0,2.5,5,64,59,.922,0,120
Magnus Chrona,SJ,1,0,0,0,8.0,4,17,13,.765,0,31
